action,record_type,record_uuid,size_bytes,num_endpoints,num_config_rules,num_constraints,num_sub_services,num_sub_slices,time_requested,time_replied,time_notified,exec_time,event_delay
get,device,67a2dbbc-af11-448b-9871-f40595152463,106245,9,89,,,,1685549898.8270626,1685549899.1570356,,0.3299729824066162,
delete,link,172901c7-3ad3-4896-8c9c-26ea736a27f4,741,2,,,,,1685549899.1597447,1685549901.4000366,1685549901.4010313,2.2402918338775635,2.241286516189575
create,link,c25a0b64-52f4-4723-85dd-02f1f1968ad5,741,2,,,,,1685549901.400742,1685549903.6451468,1685549903.6403408,2.2444047927856445,2.2395987510681152
update,device,661dcc5e-0a40-4afb-9919-040603a8e6df,20001,25,10,,,,1685549903.6534967,1685549906.2569816,1685549906.1950586,2.603484869003296,2.5415618419647217
update,device,661dcc5e-0a40-4afb-9919-040603a8e6df,70428,12,61,,,,1685550765.1250987,1685550768.0534167,1685550768.0054681,2.9283180236816406,2.8803694248199463
get,link,c77fba89-113c-4a9e-bfe8-ecb64eeb2685,741,2,,,,,1685549906.2571216,1685549906.3281226,,0.07100105285644531,
update,service,5bcc8f1a-b9f0-4e43-99a0-883013a19b37,8734,2,5,3,,,1685549906.3342068,1685549908.7170134,1685549908.711966,2.3828065395355225,2.3777592182159424
update,service,5bcc8f1a-b9f0-4e43-99a0-883013a19b37,9241,2,5,3,,,1685550692.7853603,1685550695.1578915,1685550695.1517642,2.3725311756134033,2.366403818130493
update,service,5bcc8f1a-b9f0-4e43-99a0-883013a19b37,9942,2,5,3,,,1685550894.769752,1685550897.207105,1685550897.2062979,2.4373528957366943,2.4365458488464355
update,service,5bcc8f1a-b9f0-4e43-99a0-883013a19b37,10216,2,5,3,,,1685550968.3652446,1685550970.8085575,1685550970.8059607,2.443312883377075,2.440716028213501
get,slice,e51e01ed-26a9-4b12-bbf4-630883d84858,11085,2,5,3,0,1,1685549908.717091,1685549908.8497171,,0.13262605667114258,
get,slice,e51e01ed-26a9-4b12-bbf4-630883d84858,11085,2,5,3,0,1,1685550044.962287,1685550045.0962157,,0.13392877578735352,
get,service,9fae51b2-e0d6-41f4-bd58-7ce0554d961e,9794,2,5,3,,,1685549908.850033,1685549908.9249213,,0.07488822937011719,
get,service,9fae51b2-e0d6-41f4-bd58-7ce0554d961e,9794,2,5,3,,,1685550050.6240823,1685550050.759958,,0.13587570190429688,
get,service,9fae51b2-e0d6-41f4-bd58-7ce0554d961e,9794,2,5,3,,,1685550130.5777588,1685550130.7097173,,0.1319584846496582,
create,service,1fe7c3a8-93de-4481-9602-c0f5261ee936,9672,2,5,3,,,1685549908.9358804,1685549911.423276,1685549911.368658,2.4873955249786377,2.4327776432037354
create,slice,593b0301-821e-434e-b403-2b92dcf5a8c1,8835,2,5,3,0,1,1685549911.427093,1685549913.7936683,1685549913.7869866,2.366575241088867,2.359893560409546
delete,device,d47ee2a9-089f-4146-935c-14a63d07b775,75703,37,55,,,,1685549913.7970097,1685549916.5514534,1685549916.4941828,2.754443645477295,2.6971731185913086
update,slice,aea81204-2f55-40a1-b304-97dc970e8ad4,10404,2,5,3,0,2,1685549916.5570242,1685549919.0011373,1685549918.984249,2.44411301612854,2.42722487449646
update,link,cdd7dd85-2fa5-44fc-bae6-5f16c68662bb,741,2,,,,,1685549919.0023305,1685549921.2458012,1685549921.24281,2.2434706687927246,2.2404794692993164
update,link,cdd7dd85-2fa5-44fc-bae6-5f16c68662bb,741,2,,,,,1685550128.3339336,1685550130.577662,1685550130.574136,2.2437283992767334,2.2402024269104004
update,link,cdd7dd85-2fa5-44fc-bae6-5f16c68662bb,741,2,,,,,1685550250.5039074,1685550252.7507584,1685550252.7505386,2.2468509674072266,2.246631145477295
create,device,9f260c4f-5ef4-4335-96fc-c6a736507fc5,31155,20,21,,,,1685549921.266911,1685549923.9125628,1685549923.8845232,2.6456518173217773,2.61761212348938
delete,service,1aadf392-f04a-4f0a-af1c-7273c4424c86,8117,2,5,3,,,1685549923.9131134,1685549926.2115643,1685549926.2107444,2.2984509468078613,2.297631025314331
delete,slice,05a64f9c-b01e-4a6e-acd6-dc497bd43721,10469,2,5,3,2,0,1685549926.213237,1685549928.5742004,1685549928.573632,2.3609633445739746,2.3603949546813965
delete,service,87cf68cc-f646-4ad9-9551-674fd09a8c20,10026,2,5,3,,,1685549928.5756795,1685549930.940028,1685549930.9334877,2.3643484115600586,2.3578081130981445
